,geometry,meanHeight,RegionName,quadkey
768,"POLYGON ((-58.44423833615421 -34.55598541033754, -58.44438164707967 -34.55575962765651, -58.44453494188861 -34.55573390586511, -58.44468868787777 -34.55564817410759, -58.44473162065702 -34.55566665757675, -58.44467756868787 -34.55575182663557, -58.44472297941592 -34.5558070631992, -58.44459395296733 -34.55601036818533, -58.44466665314431 -34.55604166281935, -58.44475962117928 -34.55589519423775, -58.44474698180743 -34.55588975273629, -58.44487041422534 -34.55569528794616, -58.4449408973943 -34.55568346135769, -58.44490610535901 -34.55573828276175, -58.44495666575184 -34.55576004714146, -58.44499456158785 -34.55570033512872, -58.44496982054471 -34.55562615810337, -58.4450866092234 -34.55556103438556, -58.44519307890074 -34.55560687187312, -58.44514015151567 -34.55539292104977, -58.44528201190434 -34.55531380843642, -58.44542695568909 -34.55537621003454, -58.44546574757076 -34.55553296649256, -58.44505685686295 -34.55576097203455, -58.44508765629261 -34.55588547351364, -58.44495404514311 -34.55609597414777, -58.44482765142464 -34.5560415592488, -58.44478644311923 -34.55610648171796, -58.44483382820171 -34.55612687915391, -58.44477657030257 -34.55621709925741, -58.44423833615421 -34.55598541033754))",-1.0,Argentina,210321300
2285,"POLYGON ((-58.47688341811268 -34.561922637297, -58.476839436666815 -34.56190221576463, -58.476869269141964 -34.561858637878416, -58.47691325339804 -34.56187906072637, -58.47688341811268 -34.561922637297))",-1.0,Argentina,210321300
2521,"POLYGON ((-58.44775607848604 -34.55533708901666, -58.44764232788814 -34.55547806168843, -58.44756046350199 -34.55543325704183, -58.44753820795023 -34.55546083863842, -58.44742657469639 -34.55539974137436, -58.44756258084603 -34.55523118690625, -58.44775607848604 -34.55533708901666))",-1.0,Argentina,210321300
5348,"POLYGON ((-58.47533384213834 -34.5598807373562, -58.47536379127345 -34.55984925610949, -58.47542528691154 -34.55988893318472, -58.47539533777643 -34.55992041441642, -58.47533384213834 -34.5598807373562))",-1.0,Argentina,210321300
5980,"POLYGON ((-58.46570732660011 -34.56260963918051, -58.4660199914551 -34.56251879612599, -58.46615455133452 -34.56264225742491, -58.46615640519767 -34.56264658540805, -58.46597390574663 -34.56278147556299, -58.4659900123259 -34.56281907005588, -58.46580088238137 -34.56287402053484, -58.46572516957072 -34.5629299817425, -58.4657065032806 -34.56291285512954, -58.46574659420166 -34.56288322293854, -58.46572094864311 -34.56282336347742, -58.46553607060022 -34.56287706793593, -58.46550215984477 -34.56284595426527, -58.46535141248807 -34.56288975292101, -58.46530888605344 -34.56285073422843, -58.4652932014004 -34.56281412457101, -58.46536264740593 -34.56276279524367, -58.46553337383506 -34.56271319172201, -58.46560847256186 -34.56278210149532, -58.46564060921292 -34.56275834846541, -58.46565561864949 -34.56275398843131, -58.46559155788332 -34.56269520695413, -58.46570732660011 -34.56260963918051))",-1.0,Argentina,210321300
6084,"POLYGON ((-58.46661133499234 -34.5670793447202, -58.46654137972434 -34.56705190467473, -58.46661115949828 -34.56693129294825, -58.46677194962707 -34.56699436316475, -58.4667177986753 -34.56708797475376, -58.46662695732978 -34.56705234211897, -58.46661133499234 -34.5670793447202))",-1.0,Argentina,210321300
6599,"POLYGON ((-58.477554898445035 -34.55898912285271, -58.477621572336965 -34.559014098508996, -58.47760843261517 -34.55903789230774, -58.47748841960972 -34.55899293613386, -58.477530439465795 -34.55891684526452, -58.47758377998613 -34.55893682326003, -58.477554898445035 -34.55898912285271))",-1.0,Argentina,210321300
7139,"POLYGON ((-58.45009811461478 -34.56085968217081, -58.45026169284088 -34.5608616998129, -58.45025789508166 -34.5610714947542, -58.45009431685555 -34.56106947711723, -58.45009811461478 -34.56085968217081))",-1.0,Argentina,210321300
10612,"POLYGON ((-58.477817719891064 -34.55785041503833, -58.47785425174328 -34.55780339894345, -58.477932273731994 -34.557844516419635, -58.47789574187977 -34.55789153249127, -58.477817719891064 -34.55785041503833))",-1.0,Argentina,210321300
11955,"POLYGON ((-58.44270934368358 -34.56578771823972, -58.44272257679741 -34.56573805367347, -58.44287205661095 -34.56552985930902, -58.44295429075853 -34.565568097599, -58.44293387462199 -34.56564474501711, -58.44298827534585 -34.56567004093129, -58.44299240703999 -34.56567078745815, -58.4430688716583 -34.56570633849165, -58.44309830395979 -34.56566341639927, -58.44317472611773 -34.56569931193881, -58.44317472611773 -34.56569931193881, -58.44321834012722 -34.5657195921019, -58.44320326500699 -34.56577616982436, -58.44316040611054 -34.56576842843008, -58.44307613238689 -34.56589132735614, -58.44294964651993 -34.56586847356803, -58.4429267373422 -34.56590188269423, -58.44287951239556 -34.56589334997257, -58.44284386503364 -34.56587677427144, -58.44286166876995 -34.56580995598547, -58.44281544894937 -34.56578846416441, -58.44279018664714 -34.56582530952265, -58.44270934368358 -34.56578771823972))",-1.0,Argentina,210321300
11991,"POLYGON ((-58.46161107149135 -34.55703188510584, -58.46146775844068 -34.55695619336845, -58.46145576803443 -34.55688493481185, -58.46150429233407 -34.55682262694872, -58.46149691236219 -34.55677876797601, -58.46173526204594 -34.55647267966424, -58.46173860404568 -34.55645084415092, -58.46189075900663 -34.55643347020279, -58.46190666547703 -34.55643512146295, -58.46193143042986 -34.55640331826818, -58.4619785317114 -34.55639794267915, -58.46204453980171 -34.55631317491179, -58.46228481881326 -34.55644008080586, -58.46229357427765 -34.55649211450263, -58.46235951724845 -34.55652694672349, -58.46224079123468 -34.55667082421364, -58.46219941000243 -34.55666652841542, -58.46208658828335 -34.55667940452385, -58.46203873371158 -34.55674085923191, -58.46205851268068 -34.55675130565662, -58.46210015723641 -34.55675562878618, -58.46213781062473 -34.55677551572737, -58.46210321980758 -34.5568199371118, -58.46209765326536 -34.55685630688052, -58.46199211945321 -34.55699181797119, -58.4619764227364 -34.55699018849658, -58.46161107149135 -34.55703188510584))",-1.0,Argentina,210321300
12164,"POLYGON ((-58.44458702908295 -34.55557604673299, -58.44494994653046 -34.55513473691354, -58.44519265411791 -34.55527013214551, -58.44482974455739 -34.55571143165615, -58.44458702908295 -34.55557604673299))",-1.0,Argentina,210321300
12442,"POLYGON ((-58.47528029270511 -34.56267790913975, -58.47514603551511 -34.56259399741433, -58.47510854746195 -34.56255289654362, -58.47507111529852 -34.56252950114114, -58.47505237127195 -34.5625089506924, -58.47503007645457 -34.5624950162461, -58.47504962568772 -34.56247380435047, -58.47512449001454 -34.56242749676419, -58.47530567205236 -34.56219016005863, -58.47538864121952 -34.56224201665655, -58.47544015116898 -34.56221015491451, -58.47561370177287 -34.56231862579554, -58.47563907321754 -34.5623464424304, -58.4755841815029 -34.56240600276332, -58.47555922672729 -34.5624214386323, -58.47540191049603 -34.56259384693912, -58.47534209153599 -34.56263084809018, -58.47532315189527 -34.56265139850882, -58.47528029270511 -34.56267790913975))",-1.0,Argentina,210321300
13713,"POLYGON ((-58.45362602555786 -34.5640326520885, -58.45376878658256 -34.56406470041313, -58.4538817932981 -34.56412540964398, -58.45388435433708 -34.56412598456934, -58.45389124994507 -34.56410515425384, -58.45380803700723 -34.56406044597124, -58.45386765328504 -34.563880310013, -58.45391645811289 -34.56389126338392, -58.45393294733081 -34.56384145245464, -58.4538724871877 -34.56380897207794, -58.45389909115597 -34.5637285855944, -58.45408862894575 -34.56348932746903, -58.45431969432079 -34.56354119950944, -58.45464458862794 -34.56371573952737, -58.45471498543085 -34.5637315429192, -58.45470348979369 -34.5637662691979, -58.45483843564593 -34.56383877255847, -58.45487274049826 -34.56384647365029, -58.4548655646555 -34.56386815056885, -58.45419868253359 -34.56470987477469, -58.45358434332293 -34.56437644639287, -58.45356961432975 -34.56439503898271, -58.45340780662413 -34.56430811325433, -58.45362602555786 -34.5640326520885))",-1.0,Argentina,210321300
14660,"POLYGON ((-58.44391173799548 -34.55755445151671, -58.44399219303315 -34.55745328530912, -58.44414899633234 -34.55753786394284, -58.44392718095573 -34.55781680945712, -58.44378912691295 -34.55774235225644, -58.44390469129698 -34.55759703895484, -58.44393097052429 -34.55761121225821, -58.44395678809945 -34.55757874861915, -58.44391173799548 -34.55755445151671))",-1.0,Argentina,210321300
14973,"POLYGON ((-58.46435014203377 -34.56681102709669, -58.46441415707289 -34.56671852153845, -58.46457005619023 -34.56679168633509, -58.4645060458447 -34.56688418502944, -58.46435014203377 -34.56681102709669))",-1.0,Argentina,210321300
18397,"POLYGON ((-58.44209297520069 -34.55846243812113, -58.44227582340027 -34.55820305886598, -58.44239418153135 -34.55825964800367, -58.44221133333175 -34.55851902708235, -58.44209297520069 -34.55846243812113))",-1.0,Argentina,210321300
18807,"POLYGON ((-58.45132314807219 -34.55857168233047, -58.45114278153962 -34.55847311632185, -58.45111070945783 -34.55863188241672, -58.45099965996864 -34.55866218371493, -58.45074873296114 -34.5585250582069, -58.45077204983187 -34.55840963282466, -58.45071463907658 -34.55842530144866, -58.4506464407967 -34.55834297049854, -58.45078962757701 -34.55816526120999, -58.45088460157503 -34.55821716244158, -58.45090882897746 -34.55818709376392, -58.45085433292789 -34.5580516661918, -58.45105074635017 -34.55780789630208, -58.4511080343981 -34.55781574529584, -58.45118965980971 -34.55786035200364, -58.45115781519313 -34.55789987874307, -58.45111375141098 -34.55789384160252, -58.45108623874823 -34.55803009554114, -58.4511330693928 -34.55801731439533, -58.45121111205445 -34.55811153013198, -58.45135138049915 -34.55793744231268, -58.45129682691514 -34.55780184271764, -58.45118007935697 -34.55773804238417, -58.45120116659655 -34.55763360941789, -58.45142340942805 -34.55750875015657, -58.45164323485391 -34.55762888088641, -58.45161510276891 -34.55776814428565, -58.45170390692861 -34.55778031128443, -58.45172067379137 -34.55782198740366, -58.45178290851467 -34.5577447473752, -58.45181481751791 -34.55774911920793, -58.45190155029061 -34.55785382627107, -58.45132314807219 -34.55857168233047))",-1.0,Argentina,210321300
19029,"POLYGON ((-58.4739382384302 -34.56455769715785, -58.47403768980734 -34.5644162044369, -58.47400353479713 -34.56439992474185, -58.47408842594893 -34.56427914711469, -58.4741757549684 -34.56432077180294, -58.4741949246777 -34.56429349507442, -58.47439490737234 -34.56438880367502, -58.47436001953901 -34.56443843977824, -58.47452879059293 -34.5645188732698, -58.47445727885418 -34.56462061525384, -58.47430352810739 -34.56454733142357, -58.47424246694528 -34.56463421552982, -58.47414306024529 -34.56458684001667, -58.47410700948416 -34.56463813053406, -58.4739382384302 -34.56455769715785))",-1.0,Argentina,210321300
23477,"POLYGON ((-58.4435424597185 -34.56746376091911, -58.44317862920413 -34.56779480010478, -58.44314654804977 -34.56781170849652, -58.44312447758833 -34.56779526180522, -58.44310305540792 -34.56781475320541, -58.44306576293024 -34.56783440822323, -58.44299203920202 -34.56777946577769, -58.44294261465776 -34.56780551216845, -58.44289585129254 -34.56777066456105, -58.44285620618381 -34.56771965340252, -58.44293413774015 -34.5676487457109, -58.44306148138079 -34.56758163635571, -58.44311792688132 -34.5675816296017, -58.4431569643766 -34.56756105480892, -58.44318011399709 -34.56755811242923, -58.44319964474263 -34.56754034055987, -58.4431563123765 -34.5674845848701, -58.44320187493491 -34.5674431254868, -58.44317169072114 -34.56740428746328, -58.44325859088488 -34.56735849145556, -58.44326591765014 -34.56736395131817, -58.44337102317496 -34.56726831838748, -58.44341639645941 -34.56724440682828, -58.44346959795246 -34.56731285381571, -58.44343036622524 -34.56734854979267, -58.44348396240763 -34.5673884924398, -58.4435424597185 -34.56746376091911))",-1.0,Argentina,210321300
23975,"POLYGON ((-58.46906478418637 -34.55891241957922, -58.4686579903327 -34.55938747349009, -58.46856306788182 -34.55937031037726, -58.46849887000215 -34.55961103617823, -58.46824082765222 -34.55946117438602, -58.46834267997846 -34.55934223158729, -58.46835732810239 -34.55933582844527, -58.46837552323049 -34.55936405482387, -58.46849355234959 -34.5593124538903, -58.46843740765937 -34.55922534421026, -58.4685731591263 -34.5590668136236, -58.4686069522029 -34.55894005700269, -58.46854161742667 -34.55892823986584, -58.46841488422038 -34.55907623918209, -58.46838502177385 -34.55907083967524, -58.46834726168909 -34.55904891201585, -58.46840794506737 -34.55882129064875, -58.46829146937418 -34.55875365182568, -58.46811799919422 -34.55895623104102, -58.46814776515921 -34.55900240764038, -58.46812104596619 -34.55910263031795, -58.46814128302086 -34.5591062894312, -58.46818041538721 -34.5590605860767, -58.46820224111949 -34.55905104409254, -58.46837644697773 -34.55908254271054, -58.46844560908869 -34.55918983521953, -58.46830357869734 -34.55925192931274, -58.46815950869256 -34.55942019060431, -58.46806803233551 -34.55940364532042, -58.46771116585254 -34.55919640997799, -58.46827382106614 -34.55853933892421, -58.46884901223248 -34.55887339276808, -58.46906478418637 -34.55891241957922))",-1.0,Argentina,210321300
25474,"POLYGON ((-58.44895248743671 -34.55410579824621, -58.44897341408972 -34.554064369280795, -58.449044295349424 -34.55408865497404, -58.44905475867593 -34.55406794048963, -58.449061618152676 -34.554070290718215, -58.449030228173164 -34.554132434154184, -58.44895248743671 -34.55410579824621))",-1.0,Argentina,210321300
25685,"POLYGON ((-58.47109268487915 -34.56066877426214, -58.47096800863901 -34.56085286338714, -58.47092787500277 -34.56085922469023, -58.47090944291999 -34.56088644372782, -58.4708876631157 -34.56088989589152, -58.47060787902489 -34.56076140350865, -58.4706278062057 -34.56073197658426, -58.47059415879674 -34.56068133532372, -58.4705300738927 -34.56071020896593, -58.47047878832756 -34.56068665575198, -58.4705043518769 -34.56064890543729, -58.47093843439757 -34.56045332793946, -58.47097310729354 -34.56044783215347, -58.471011647103 -34.56039091931004, -58.47122798686107 -34.5603566286034, -58.4712553090075 -34.56031628116492, -58.47130498794287 -34.56029389520579, -58.47133185039392 -34.56030623356047, -58.47135567115753 -34.56027105669946, -58.47136198098029 -34.56026821341196, -58.47148928256045 -34.56024802824297, -58.47136621830396 -34.56042976094059, -58.47131812314215 -34.56045143319592, -58.47129246638671 -34.56043965013599, -58.47126541092604 -34.56047960369243, -58.47124434185177 -34.56048909766436, -58.47125360371351 -34.56052872685284, -58.47118778154535 -34.56062592815427, -58.47109268487915 -34.56066877426214))",-1.0,Argentina,210321300
28356,"POLYGON ((-58.45383626762595 -34.55872723080751, -58.45378519863118 -34.55870181608232, -58.45375287249523 -34.55867273536323, -58.45362348440469 -34.55877596266453, -58.45351345782232 -34.55872120744124, -58.45363814026526 -34.55855128426604, -58.45366899207728 -34.55838701790682, -58.45369306506065 -34.55835420619282, -58.4537873463022 -34.55836621598466, -58.45381534890224 -34.55832805257414, -58.45383104502404 -34.5582445182813, -58.45386422793398 -34.55819929480498, -58.45396187821582 -34.55821173377716, -58.45399024379864 -34.55819034833665, -58.45399507686471 -34.55816461523062, -58.45404577185638 -34.55809443972743, -58.45407106510395 -34.5580753720197, -58.45424010936242 -34.55816170722844, -58.4542833581402 -34.55820061721053, -58.45427279833213 -34.55825684166305, -58.45421836292029 -34.55829787854921, -58.45415499325782 -34.55838424205169, -58.45414985749055 -34.55841158678312, -58.45410659637812 -34.55847055205658, -58.45410158372906 -34.5584972412334, -58.45406506793595 -34.55854700676475, -58.45384895765202 -34.5587099362523, -58.45383626762595 -34.55872723080751))",-1.0,Argentina,210321300
33929,"POLYGON ((-58.44453992009684 -34.56630085708686, -58.44438317398013 -34.56637828624444, -58.44424524177168 -34.56618896343021, -58.44440199488167 -34.56611152160752, -58.44453992009684 -34.56630085708686))",-1.0,Argentina,210321300
34820,"POLYGON ((-58.45476408604263 -34.56239360286918, -58.45466002821923 -34.56275307803543, -58.45454370421132 -34.56289952523085, -58.45444063085072 -34.56287929106314, -58.45432059888325 -34.5630303900281, -58.45425673285769 -34.56299598758486, -58.45417563008345 -34.56309808148467, -58.45402427702342 -34.56301655281203, -58.45390140323943 -34.56317124541147, -58.45375453607686 -34.56309213320782, -58.45370372606241 -34.56308243405209, -58.45357598991587 -34.56301362698844, -58.45358702576026 -34.56299973333925, -58.45361318350801 -34.56290939647266, -58.45375048383634 -34.56273654093593, -58.45395236304311 -34.56284528664928, -58.45398252766525 -34.56285120822125, -58.4540047817158 -34.56277433023912, -58.45406126988615 -34.56270321385496, -58.45413088164809 -34.56271687925886, -58.45422872179228 -34.56259370224292, -58.4542708291409 -34.56260197072554, -58.45435260652513 -34.56231954746114, -58.45443670795802 -34.56221366646476, -58.45476408604263 -34.56239360286918))",-1.0,Argentina,210321300
35858,"POLYGON ((-58.4752561389237 -34.55273931038853, -58.47561064929402 -34.55232404379612, -58.47576252426388 -34.55236604829072, -58.47572771890742 -34.55245141287075, -58.47599855134176 -34.55252631764188, -58.47585666489475 -34.55269252052686, -58.47602846435477 -34.55274003538266, -58.47606650741881 -34.55264673023066, -58.4761381521977 -34.55266654515778, -58.47627197640313 -34.55259301482423, -58.47617115999469 -34.55253463368454, -58.47613935649228 -34.55257188768262, -58.47605327330312 -34.55254807947038, -58.47598713749543 -34.55246642319923, -58.47600085730862 -34.55243277362241, -58.4758579133693 -34.55234998870456, -58.47588943786249 -34.55233266736477, -58.47567914857015 -34.55227450702505, -58.4758418433759 -34.55187547564344, -58.47616273092061 -34.55196422488254, -58.47616896639893 -34.5519678357724, -58.47614132761534 -34.55203562374912, -58.47663063848808 -34.55217095424922, -58.47658540677633 -34.55228189103983, -58.47669310079223 -34.55234425507787, -58.47635404033195 -34.55250578256857, -58.47642613605869 -34.55254753204802, -58.47629870247147 -34.55286007808074, -58.47599999308335 -34.55302418751195, -58.47591663593155 -34.55312182983236, -58.4752561389237 -34.55273931038853))",-1.0,Argentina,210321300
36018,"POLYGON ((-58.46072758457478 -34.55893539128128, -58.46077984837828 -34.55886083955612, -58.460832152026754 -34.55888570799502, -58.46077988822325 -34.558960259697855, -58.46072758457478 -34.55893539128128))",-1.0,Argentina,210321300
37120,"POLYGON ((-58.46815269622608 -34.56671687251229, -58.46819227266667 -34.56666551660432, -58.4682428659226 -34.56669195473364, -58.46827441790908 -34.56665101617062, -58.46836811138895 -34.56669997685499, -58.46834262709218 -34.56673304259949, -58.4683942541117 -34.56676002091275, -58.4683486006663 -34.56681925597221, -58.46815269622608 -34.56671687251229))",-1.0,Argentina,210321300
37336,"POLYGON ((-58.47004036493241 -34.55100842931341, -58.46993107697771 -34.55092389819832, -58.46993018600623 -34.55090510809073, -58.46995857025114 -34.55088021439728, -58.47015764485376 -34.55087381105032, -58.47012322780438 -34.55084719041069, -58.47015392919477 -34.55079827464181, -58.47033102645089 -34.55087366564528, -58.47033369533492 -34.55092995097753, -58.47039911352356 -34.55087257759415, -58.47048834440501 -34.55091056865214, -58.47049368861192 -34.55102327502048, -58.47049602999951 -34.55102508601576, -58.47044338465373 -34.55110897565984, -58.47041978378849 -34.55110973615332, -58.47031168766198 -34.55128196227625, -58.47013784321522 -34.55128755405362, -58.47009078618175 -34.55132882404401, -58.47014566244015 -34.5513712722318, -58.47007067690392 -34.55149074396584, -58.47003267971051 -34.551491966158, -58.46984697576463 -34.55141290113359, -58.46984460501655 -34.55136290362076, -58.46974385135642 -34.55128497387412, -58.46983738310982 -34.55113595273015, -58.46998382398533 -34.55113124239125, -58.46997964035323 -34.55104301203107, -58.47000134591723 -34.55104231386072, -58.47003290493488 -34.55106672383464, -58.47013010416064 -34.55098147781473, -58.4700987498445 -34.55095722433923, -58.47004036493241 -34.55100842931341))",-1.0,Argentina,210321300
38271,"POLYGON ((-58.46353709190554 -34.55720309925736, -58.46312329798045 -34.55770429437949, -58.46312798495788 -34.55772135856986, -58.46304418594773 -34.55782285714638, -58.46292065591518 -34.5577536913224, -58.46294824505826 -34.55767563403437, -58.46302424051808 -34.55766148111181, -58.46296657131754 -34.5576291914366, -58.46271198977832 -34.55767661780462, -58.46257560696118 -34.55760025542759, -58.46256485601862 -34.55756110157955, -58.46250116766253 -34.55752544166339, -58.46267653409463 -34.55731303439633, -58.46287168515112 -34.5573598168597, -58.46289181270662 -34.55743311954824, -58.46297639254462 -34.55745339537026, -58.46305777992579 -34.55735481735765, -58.46315665802712 -34.55733640284252, -58.46317536387781 -34.55728347857902, -58.46273797516286 -34.55717860050252, -58.46249720105683 -34.55747026118303, -58.46223538945489 -34.55751901945207, -58.46203558134098 -34.55740713273707, -58.462105628786 -34.55732228984017, -58.46228480422415 -34.55728892117354, -58.46236487072224 -34.55719193286656, -58.46241966683473 -34.55720506885169, -58.46259397199182 -34.55699394621033, -58.46298685931791 -34.55709805317088, -58.46309646459916 -34.55696528281632, -58.4631243277317 -34.55697196231762, -58.46353709190554 -34.55720309925736))",-1.0,Argentina,210321300
41032,"POLYGON ((-58.476819369026366 -34.563552620982435, -58.47676423619722 -34.563594975382955, -58.47673346632667 -34.56356781135176, -58.47678859792142 -34.5635254578857, -58.476819369026366 -34.563552620982435))",-1.0,Argentina,210321300
41158,"POLYGON ((-58.45672200685095 -34.55153356540201, -58.45673717604629 -34.55149821717038, -58.45688262142863 -34.55154055659392, -58.45685565397022 -34.55160339785222, -58.456877113125 -34.55160964464591, -58.45686329828758 -34.55164183682336, -58.45661445167315 -34.55156941152687, -58.45664006573604 -34.55150971219048, -58.45672200685095 -34.55153356540201))",-1.0,Argentina,210321300
42542,"POLYGON ((-58.44038670496423 -34.55650957794312, -58.4403956863031 -34.55645728472538, -58.44044391882042 -34.55638947603144, -58.44049745637187 -34.55639571270488, -58.44051292135021 -34.55630566880622, -58.44053965481477 -34.55626808943362, -58.44059614663855 -34.55625837055403, -58.44060424275285 -34.55621123135367, -58.44063885995775 -34.55616256970713, -58.44066802272648 -34.55616596693314, -58.44071630417831 -34.5561892632343, -58.44085511335238 -34.55620543337095, -58.44088196322201 -34.55621838870609, -58.44087550954556 -34.55625596489718, -58.44056576191208 -34.5566423628905, -58.44048833296252 -34.55660500281982, -58.44049569046133 -34.55656216434909, -58.44038670496423 -34.55650957794312))",-1.0,Argentina,210321300
43400,"POLYGON ((-58.46492504969524 -34.56040670203519, -58.46452391891189 -34.560215913208, -58.46426934538118 -34.5602717296095, -58.46424697290293 -34.56037848051338, -58.46486538974825 -34.56046637902688, -58.46439053483377 -34.5607214355885, -58.46421823095494 -34.56071079936959, -58.46429274958291 -34.56060455600718, -58.46397238128902 -34.56067479787467, -58.46362385394891 -34.560509009162, -58.46415586389499 -34.55975041046747, -58.46470100459041 -34.56000972713265, -58.46439281128721 -34.55962058604639, -58.46482635696873 -34.55900245742963, -58.46540155761323 -34.55927607567649, -58.46528551099139 -34.55944152928406, -58.46492893968092 -34.55946652962633, -58.46488500288925 -34.55967617715265, -58.46516582465519 -34.55971609202803, -58.46511257403903 -34.55964885489003, -58.46538547088028 -34.5595022733131, -58.46550331942147 -34.55893994824926, -58.46565528271969 -34.55913182690577, -58.46585702715137 -34.55916050223675, -58.46548271793851 -34.55969423826917, -58.46525968144443 -34.55974314034107, -58.46545497078898 -34.55983603716034, -58.46490101311707 -34.56013358398867, -58.46506267529708 -34.560210484412, -58.46492504969524 -34.56040670203519))",-1.0,Argentina,210321300
43731,"POLYGON ((-58.46723047494776 -34.55214245612984, -58.46701158166203 -34.55210771938528, -58.46676975958732 -34.5519892894997, -58.46685191699432 -34.55187550700339, -58.46686633537779 -34.55181387515816, -58.46682113031471 -34.55180670402785, -58.46670560078937 -34.55196670475685, -58.46652895534206 -34.55188019432734, -58.46653307940349 -34.55186256589943, -58.46658622713912 -34.55178895109357, -58.46633258636611 -34.5516647326413, -58.46638445629927 -34.55159288754666, -58.46640497044037 -34.55159614300979, -58.46645321794946 -34.55138990660433, -58.4665331663699 -34.55127916957808, -58.4664776824508 -34.551251996641, -58.46657436630866 -34.55111807902161, -58.46675726658685 -34.5511470937453, -58.46678159382223 -34.55111339786613, -58.46724372631165 -34.55118670909239, -58.46721353330339 -34.55131577100049, -58.46751206140785 -34.55136314564875, -58.46776260649377 -34.55148584845999, -58.4676553821115 -34.55163436517836, -58.46755877285081 -34.55158705153298, -58.46750772190865 -34.55157895007345, -58.46749550803504 -34.55163117779173, -58.46757965202067 -34.55167238664379, -58.46723047494776 -34.55214245612984))",-1.0,Argentina,210321300
44288,"POLYGON ((-58.46782424889661 -34.55996809354613, -58.46775864042114 -34.55992105487367, -58.46779929496481 -34.55988259778788, -58.46783227296758 -34.55990623982018, -58.46787079406982 -34.55986979792338, -58.46790342857848 -34.55989319370737, -58.46782424889661 -34.55996809354613))",-1.0,Argentina,210321300
44503,"POLYGON ((-58.47062387719794 -34.55382124492455, -58.47065093390582 -34.55373180947782, -58.47078225402981 -34.55375876484574, -58.47075519732195 -34.55384820026349, -58.47062387719794 -34.55382124492455))",-1.0,Argentina,210321300
